sample,mass,salinity,Sample.ID,Type,Notes
20181119_Junk,59.1487,29,JUNK,JUNK,
20181119_1A,59.925,30.04,1A,1A,
20181119_1B,59.742,30.04,1B,1B,
20181119_2A,60.4666,30.08,2A,2A,
20181119_2B,59.6855,30.08,2B,2B,
20181119_3A,60.4974,30.1,3A,3A,
20181119_3B,59.1611,30.1,3B,3B,
20181119_4A,59.371,30.11,4A,4A,
20181119_4B,59.744,30.11,4B,4B,
