sample,mass,salinity,Sample.ID,Type,Notes
20181119_JUNK,59.7332,29,JUNK,Junk,
20181119_CRM1,60.0357,33.607,CRM1,CRM,
20181119_CRM2,59.5327,33.607,CRM2,CRM,
