sample,mass,salinity,Sample.ID,Type,Notes
20190906_JUNK,59.5674,29,JUNK,Junk,
20190906_CRM1,60.9746,33.623,CRM1,CRM,
20190906_CRM2,59.1933,33.623,CRM2,CRM,
