sample,mass,salinity,Sample.ID,Type,Notes
20190919_JUNK,60.4291,29,JUNK,Junk,
20190919_B1,60.3926,29,B1,Sample,
20190919_B2,59.8925,29,B2,Sample,
20190919_B3,60.4109,29,B3,Sample,
20190919_B5,59.6490,29,B5,Sample,
20190919_H1T1,59.8960,29,H1T1,Sample,
20190919_H1T2,59.7220,29,H1T2,Sample,
