sample,mass,salinity,Sample.ID,Type,Notes
20181205_JUNK,59.3258,29,JUNK,Junk,
20181205_5A,59.5317,29.79,5A,5A,
20181205_5B,59.2047,29.79,5B,5B,
20181205_6A,59.9472,29.79,6A,6A,
20181205_6B,59.0694,29.79,6B,6B,
