sample,mass,salinity,Sample.ID,Type,Notes
20181205_JUNK,59.9189,29,JUNK,Junk,
20181205_1A,59.437,29.7,1A,1A,
20181205_1B,59.445,29.7,1B,1B,
20181205_2A,59.7984,29.77,2A,2A,
20181205_2B,59.4786,29.77,2B,2B,
20181205_3A,59.571,29.77,3A,3A,
20181205_3B,59.4894,29.77,3B,3B,
20181205_4A,59.9602,29.77,4A,4A,
20181205_4B,59.0636,29.77,4B,4B,
