sample,mass,salinity,Sample.ID,Type,Notes
20181205_Junk,59.1959,29,JUNK,Junk,
20181205_CRM1,59.5774,33.607,CRM1,CRM,
20181205_CRM2,59.8703,33.607,CRM2,CRM,
