Sample.ID,TA,Mass,Type
Junk2,2013.500275,59.24,NA
CRM1,2211.161038,59.11,NA
CRM2,2209.080592,59.36,NA
,,,
Batch 137,2216.53,,
,,,
CRM1 Error,0.242223746,,
CRM 2 Error,0.336084223,,
