sample,mass,salinity,Sample.ID,Type,Notes
JUNK,59.2548,29,JUNK,Sample,
20191219_B1,60.7299,29,B1,Sample,
20191219_B2,60.605,29,B2,Sample,
20191219_B3,59.9935,29,B3,Sample,
20191219_B4,60.4311,29,B4,Sample,
20191219_B5,60.1685,29,B5,Sample,
20191219_B6,59.5338,29,B6,Sample,
