sample,mass,salinity,Sample.ID,Type,Notes
20191219_JUNK,59.1974,29,JUNK,Junk,
20191219_CRM1,60.1988,33.623,CRM1,CRM,
20191219_CRM2,60.5489,33.623,CRM2,CRM,
