"Date","Run","SDR_position","Lpc","Leq","Lz","alpha"
"09.05.19","2","B4",-0.745737731184762,-0.745737731184762,-0.745737731184762,0.4
"09.05.19","2","C4",-0.802905902980728,-0.822784336645251,-0.788517665130567,0.4
"09.05.19","2","D4",-0.845286691997802,-0.902425118088359,-0.882673992673996,0.4
"09.05.19","2","A5",-0.508067382450946,-0.497110215053757,-0.497110215053757,0.4
"09.05.19","2","B5",-0.617633052727974,-0.610019873532071,-0.609570429570428,0.4
"09.05.19","2","C5",-0.381212190497969,-0.398746684894055,-0.398746684894055,0.4
"09.05.19","2","D5",0.362521140318402,0.369174825174826,0.585666861484507,0.4
"09.05.19","2","A6",-0.53249718785152,0.32312565751022,0.32312565751022,0.4
"09.05.19","2","B6",-0.758733952245059,-0.714171851738748,-0.766478082992409,0.4
"09.05.19","2","C6",-0.94680981107539,-1.01875251509054,-0.901717839710283,0.4
"09.05.19","2","D6",-0.389906296235411,-0.437946096137812,-0.437946096137812,0.4
"09.05.19","3","A1",-0.890544242873013,-0.60837285067873,-0.60837285067873,0.4
"09.05.19","3","B1",-0.686088687782805,-0.686088687782805,-1.19398009049775,0.4
"09.05.19","3","C1",-0.884950727883536,-0.744383710407233,-0.757129026110153,0.4
"09.05.19","3","D1",-0.450779493043652,-0.433397839058223,-0.394848868778275,0.4
"09.05.19","3","A2",-1.42873122171945,-1.41864537977745,-1.42427046870998,0.4
"09.05.19","3","B2",-0.469016085664417,-0.469016085664417,-0.615149763823284,0.4
"09.05.19","3","C2",-0.415688930806828,-0.393253663003662,-0.393253663003662,0.4
"09.05.19","3","D2",-0.387606557377056,-0.362574314574314,-1.22507511312217,0.4
"09.05.19","3","A3",-0.65757211209843,-0.632999231622972,-0.632999231622972,0.4
"09.05.19","3","B3",-1.36460090497738,-1.39141983884412,-1.39141983884412,0.4
"09.05.19","3","C3",-0.524394752083814,-0.513539019963707,-0.510417674568623,0.4
"09.05.19","3","D3",-0.634188670739129,-0.634188670739129,-0.661809119557529,0.4
"09.05.19","3","A4",-0.566813397129185,-0.665906258003925,-0.665906258003925,0.4
"09.05.19","3","B4",-0.525118104405779,-0.532594086021502,-0.532594086021502,0.4
