Date,Run,mean.lpc,SDR_position,Lpc,Leq,Lz,alpha,Tank.ID,Parental.history,Sw.Condition,Type,Length,Lid.ID,Wet.weight.g,SDR.vial.volume.ml,Notes,resp.RAW.µgLhr,resp.shell,resp.weight,resp.weightXsize,uniqID
09.05.19,1,-0.51648171998346,A1,-0.669802323991801,-0.669802323991801,-0.729773614363777,0.4,3.12,var.low,amb,sample,0.37592,D6,0.0314,4,NA,9.1100920413889,24.2341243918624,290.130319789455,771.787401014725,09.05.19_1_A1
09.05.19,1,-0.51648171998346,D1,-1.76684664938912,-1.71562679425838,-1.71562679425838,0.4,3.9,var.low,amb,sample,0.56388,A6,0.1283,4,NA,17.5348658791641,31.0968040703059,136.670817452565,242.375713720233,09.05.19_1_D1
09.05.19,1,-0.51648171998346,C3,-0.140410767696909,-0.140410767696909,-0.223769769250712,0.4,3.2,amb,amb,sample,0.34544,B4,0.0355,4,NA,5.04461899699115,14.6034593474732,142.101943577215,411.365052041499,09.05.19_1_C3
09.05.19,1,-0.51648171998346,A2,-0.379147264978339,-0.542579630895422,-0.542579630895422,0.4,3.8,var.low,amb,sample,0.39878,D5,0.0423,4,NA,6.87800070259383,17.2476069577056,162.600489423022,407.744845335829,09.05.19_1_A2
09.05.19,1,-0.51648171998346,D2,-0.802956758597206,-0.811257571547652,-0.811257571547652,0.4,3.5,amb,amb,sample,0.37338,A5,0.042,4,NA,10.1326541850298,27.1376457898918,241.253671072138,646.134423568852,09.05.19_1_D2
09.05.19,1,-0.51648171998346,C4,-1.15177340754484,-1.15177340754484,-1.15521884105095,0.4,2.10,var.low,amb,sample,0.54356,B3,0.082,4,plate orientation pic shows these swapped, but it was only the cap that was swapped, not the animal,12.8113986169561,23.5694286131359,156.236568499465,287.432056257754,09.05.19_1_C4
09.05.19,1,-0.51648171998346,A3,-0.670299931647301,-0.628371992663715,-1.4804907723855,0.4,3.4,amb,amb,sample,0.508,D4,0.0611,4,NA,9.11391342933146,17.9407744671879,149.163885913772,293.629696680653,09.05.19_1_A3
09.05.19,1,-0.51648171998346,D3,-0.619768198141272,-0.511255244755236,-0.495385277923038,0.4,3.1,amb,amb,sample,0.43942,A4,0.078,4,NA,8.72585397123724,19.857662307672,111.86992270817,254.585414200923,09.05.19_1_D3
09.05.19,1,-0.51648171998346,A4,-0.921882028202821,-0.785258236180747,-0.785258236180747,0.4,2.12,var.low,amb,sample,0.46482,D3,0.0356,4,NA,11.0459431714715,23.7639154327944,310.279302569424,667.525714404338,09.05.19_1_A4
09.05.19,1,-0.51648171998346,D4,-1.53245701666754,-1.62164456596035,-1.62164456596035,0.4,2.9,var.low,amb,sample,0.41656,A3,0.122,4,plate orientation pic shows these swapped, but it was only the cap that was swapped, not the animal,15.7348660068861,37.7733483937154,128.974311531853,309.617609784552,09.05.19_1_D4
