sample,mass,salinity,Sample.ID,Type,Notes
20181116_Junk,59.9746,29,JUNK,JUNK,
20181116_1A,59.5082,30.24,1A,1A,
20181116_1B,59.1467,30.24,1B,1B,
20181116_2A,59.5347,30.29,2A,2A,
20181116_2B,60.425,30.29,2B,2B,
20181116_3A,60.6533,30.3,3A,3A,
20181116_3B,59.3037,30.3,3B,3B,
20181116_4A,59.7204,30.3,4A,4A,
20181116_4B,60.6313,30.3,4B,4B,
