sample,mass,salinity,Sample.ID,Type,Notes
20190114_JUNK,60.7403,29,JUNK,Junk,
20190114_5A,59.8796,28.61,5A,5A,
20190114_5B,59.6166,28.61,5B,5B,
20190114_6A,59.3451,28.83,6A,6A,
20190114_6B,59.5084,28.83,6B,6B,
