sample,mass,salinity,Sample.ID,Type,Notes
20190114_JUNK,60.0945,29,JUNK,Junk,
20190114_1A,59.204,28.75,1A,1A,
20190114_1B,59.9458,28.75,1B,1B,
20190114_4A,59.6229,28.81,2A,2A,
20190114_4B,59.0973,28.81,2B,2B,
20190114_5A,59.253,28.85,3A,3A,
20190114_5B,59.656,28.85,3B,3B,
20190114_6A,60.3232,28.82,4A,4A,
20190114_6B,60.7782,28.82,4B,4B,
