Sample.ID,TA,Mass,Type
JUNK,2136.565513,60.7797,NA
CRM1,2194.232815,60.9198,NA
CRM2,2195.546011,60.6022,NA
,,,
,,,
CRM BATCH 178,2216.53,,
,,,
CRM 1 Error,1.005950068,,
CRM 2 Error,0.946704496,,
