Sample.ID,TA,Mass,Type
JUNK,2124.242983,60.8496,NA
CRM1,2198.852291,59.5263,NA
CRM2,2199.552738,59.8183,NA
,,,
,,,
Batch 178,2216.53,,
,,,
CRM 1 Error,0.797539791,,
CRM 2 Error,0.76593872,,
