sample,mass,salinity,Sample.ID,Type,Notes
20190106_JUNK,60.0945,29,JUNK,Junk,
20190106_1A,59.204,27.48,1A,1A,
20190106_1B,59.9458,27.48,1B,1B,
20190106_4A,59.6229,27.38,4A,4A,
20190106_4B,59.0973,27.38,4B,4B,
20190106_5A,59.253,27.38,5A,5A,
20190106_5B,59.656,27.38,5B,5B,
20190106_6A,60.3232,27.33,6A,6A,
20190106_6B,60.7782,27.33,6B,6B,
