"Sample.ID","TA","Mass","Type"
"20190106_JUNK",2117.48413307783,60.0945,NA
"20190106_1A",1957.48482982341,59.204,NA
"20190106_1B",1952.67890661953,59.9458,NA
"20190106_4A",1942.9787254172,59.6229,NA
"20190106_4B",1940.56900099651,59.0973,NA
"20190106_5A",1951.83612824266,59.253,NA
"20190106_5B",1951.99053817628,59.656,NA
"20190106_6A",1942.10424949913,60.3232,NA
"20190106_6B",1941.44156231625,60.7782,NA
