sample,mass,salinity,Sample.ID,Type,Notes
20181219_JUNK,60.8386,29,JUNK,Junk,
20181219_5A,60.9163,28.37,5A,5A,
20181219_5B,59.424,28.37,5B,5B,
20181219_6A,60.2801,28.4,6A,6A,
20181219_6B,59.4677,28.4,6B,6B,
