sample,mass,salinity,Sample.ID,Type,Notes
20181212_JUNK,59.14,29,JUNK,Junk,
20181212_1A,60.355,28.3,1A,1A,
20181212_1B,60.6429,28.3,1B,1B,
20181212_2A,59.0935,28.37,2A,2A,
20181212_2B,60.607,28.37,2B,2B,
20181212_3A,59.9926,28.36,3A,3A,
20181212_3B,60.335,28.36,3B,3B,
20181212_4A,60.9605,28.39,4A,4A,
20181212_4B,59.1907,28.39,4B,4B,
