Sample.ID,TA,Mass,Type
20181212_JUNK,2119.16284,59.14,NA
20181212_1A,2037.814174,60.355,NA
20181212_1B,2035.587127,60.6429,NA
20181212_2A,2043.712372,59.0935,NA
20181212_2B,2040.735694,60.607,NA
20181212_3A,2038.459156,59.9926,NA
20181212_3B,2033.351495,60.335,NA
20181212_4A,2033.320315,60.9605,NA
20181212_4B,2052.44683,59.1907,NA
