sample,mass,salinity,Sample.ID,Type,Notes
20181212_JUNK,60.3362,29,JUNK,Junk,
20181212_5A,59.684,28.96,5A,5A,
20181212_5B,60.7747,28.96,5B,5B,
20181212_6A,59.8881,28.93,6A,6A,
20181212_6B,59.3664,28.93,6B,6B,
