sample,mass,salinity,Sample.ID,Type,Notes
20190913_JUNK,59.5830,29,JUNK,Junk,
20190913_CRM1,59.4196,33.623,CRM1,CRM,
20190913_CRM2,59.2672,33.623,CRM2,CRM,
,,,,,
