sample,mass,salinity,Sample.ID,Type,Notes
20190913_JUNK,60.5978,29,JUNK,Junk,
20190913_B1,60.5979,29,B1,Sample,
20190913_B2,59.9756,29,B2,Sample,
20190913_B3,59.7636,29,B3,Sample,
20190913_B5,59.8275,29,B5,Sample,
20190913_H1T1,59.4016,29,H1T1,Sample,
20190913_H1T2,59.9477,29,H1T2,Sample,
