sample,mass,salinity,Sample.ID,Type,Notes
20190103_JUNK,59.4134,29,JUNK,Junk,
20190103_1A,59.9134,28.42,1A,1A,
20190103_1B,60.7444,28.42,1B,1B,
20190103_2A,60.4081,28.42,2A,2A,
20190103_2B,59.7622,28.42,2B,2B,
20190103_3A,59.5117,28.41,3A,3A,
20190103_3B,59.5071,28.41,3B,3B,
20190103_4A,60.611,28.42,4A,4A,
20190103_4B,59.815,28.42,4B,4B,
