sample,mass,salinity,Sample.ID,Type,Notes
20190103_JUNK,59.6673,29,JUNK,Junk,
20190103_5A,59.9043,28.42,5A,5A,
20190103_5B,60.4042,28.42,5B,5B,
20190103_6A,59.7746,28.39,6A,6A,
20190103_6B,60.9404,28.39,6B,6B,
