sample,mass,salinity,Sample.ID,Type,Notes
20190919_JUNK,60.0887,29,JUNK,Junk,
20190919_CRM1,59.2996,33.623,CRM1,CRM,
20190919_CRM2,60.6562,33.623,CRM2,CRM,
