sample,mass,salinity,Sample.ID,Type,Notes
20191003_B1,59.6333,29,B1,Sample,
20191003_B2,60.5456,29,B2,Sample,
20191003_B3,59.6750,29,B3,Sample,
20191003_B5,59.5305,29,B5,Sample,
20191011_B1,59.7046,29,B1,Sample,
20191011_B2,59.4601,29,B2,Sample,
20191011_B3,60.6673,29,B3,Sample,
20191011_B5,59.8782,29,B5,Sample,
