Sample.ID,TA,Mass,Type
20190919_JUNK,2205.439125,60.0887,NA
20190919_CRM1,2227.182864,59.2996,NA
20190919_CRM2,2226.977223,60.6562,NA
,,,
TRUE,2224.47,,
CRM1err,0.121955515,,
CRM2err,0.112711039,,
